枠番,馬番,馬名,horse_id,性齢,斤量,騎手,jockey_id,馬体重,単勝,人気,平均賞金,平均着順
1,1,ピースワンデュック,2021101134,牡3,57.0,柴田善,00641,452(-2),26.2,8,788.05,1.25
1,2,ノーブルスカイ,2021102256,牡3,57.0,池添,01032,464(-2),253.6,17,262.0111111111111,3.5555555555555554
2,3,アスクカムオンモア,2021105236,牡3,57.0,北村友,01102,484(+2),184.1,16,520.2285714285714,2.857142857142857
2,4,ダノンデサイル,2021105143,牡3,57.0,横山典,00660,522(+18),2.9,1,6366.666666666667,1.8333333333333333
3,5,ハヤテノフクノスケ,2021109070,牡3,57.0,岩田望,01174,516(0),120.2,15,409.9,3.625
3,6,ミスタージーティー,2021105856,牡3,57.0,坂井,01163,474(+2),79.5,13,491.7714285714286,7.142857142857143
4,7,ビザンチンドリーム,2021105587,牡3,57.0,シュタルケ,05115,456(-2),41.5,9,972.4,7.6
4,8,ウエストナウ,2021106645,牡3,57.0,西村淳,01171,488(-4),55.2,11,926.9333333333334,4.666666666666667
5,9,コスモキュランダ,2021106787,牡3,57.0,Ｍデムーロ,05212,512(+8),6.0,3,1761.98,4.0
5,10,メイショウタバル,2021103272,牡3,57.0,浜中,01115,502(+6),9.6,5,1272.011111111111,3.3333333333333335
6,11,ショウナンラプンタ,2021105195,牡3,57.0,鮫島駿,01157,536(+6),23.6,7,860.8714285714286,4.714285714285714
6,12,シュバルツクーゲル,2021104882,牡3,57.0,松山,01126,486(-2),99.1,14,851.15,3.6666666666666665
7,13,アーバンシック,2021105436,牡3,57.0,ルメール,05339,510(0),3.7,2,1987.1333333333334,3.3333333333333335
7,14,メリオーレム,2021104791,牡3,57.0,藤岡佑介,01093,488(+2),51.5,10,682.9375,2.25
7,15,エコロヴァルツ,2021101436,牡3,57.0,岩田康,05203,488(+4),68.3,12,999.6714285714287,3.857142857142857
8,16,ヘデントール,2021105521,牡3,57.0,戸崎圭,05386,472(-8),7.1,4,840.8333333333334,2.3333333333333335
8,17,アドマイヤテラ,2021105369,牡3,57.0,武豊,00666,482(+4),23.6,6,801.4833333333332,2.1666666666666665
8,18,アレグロブリランテ,2021105625,牡3,57.0,横山和,01140,466(0),291.1,18,563.0666666666667,6.166666666666667
