,着順,馬番,単勝,人 気,馬の体重,体重変化,平均賞金,平均着順
202408050611,1,13,3.7,2,510,0,1987.1333333333334,3.3333333333333335
202408050611,2,16,7.1,4,472,-8,840.8333333333334,2.3333333333333335
202408050611,3,17,23.6,7,482,4,801.4833333333332,2.1666666666666665
202408050611,4,11,23.6,6,536,6,860.8714285714286,4.714285714285714
202408050611,5,7,41.5,9,456,-2,972.4,7.6
202408050611,6,4,2.9,1,522,18,6366.666666666667,1.8333333333333333
202408050611,7,12,99.1,14,486,-2,851.15,3.6666666666666665
202408050611,8,5,120.2,15,516,0,409.9,3.625
202408050611,9,15,68.3,12,488,4,999.6714285714287,3.857142857142857
202408050611,10,18,291.1,18,466,0,563.0666666666667,6.166666666666667
202408050611,11,8,55.2,11,488,-4,926.9333333333334,4.666666666666667
202408050611,12,6,79.5,13,474,2,491.7714285714286,7.142857142857143
202408050611,13,14,51.5,10,488,2,682.9375,2.25
202408050611,14,9,6.0,3,512,8,1761.98,4.0
202408050611,15,1,26.2,8,452,-2,788.05,1.25
202408050611,16,10,9.6,5,502,6,1272.011111111111,3.3333333333333335
202408050611,17,3,184.1,16,484,2,520.2285714285714,2.857142857142857
202408050611,18,2,253.6,17,464,-2,262.0111111111111,3.5555555555555554
202308020711,1,17,7.3,4,468,12,1044.74,1.4
202308020711,2,7,4.7,2,480,2,9646.580000000002,1.8
202308020711,3,14,2.7,1,464,4,8456.380000000001,1.4
202308020711,4,6,36.2,9,498,-2,883.2,2.0
202308020711,5,8,22.3,7,536,8,708.35,2.7
202308020711,6,12,9.3,5,498,6,1802.4857142857145,3.5714285714285716
202308020711,7,10,71.2,11,500,4,651.22,5.8
202308020711,8,13,88.1,12,472,-10,525.1333333333333,4.666666666666667
202308020711,9,15,20.3,6,504,2,2033.2857142857142,3.0
202308020711,10,11,5.0,3,496,4,1829.5,3.5714285714285716
202308020711,11,16,185.4,15,492,6,787.8125,4.5
202308020711,12,3,277.7,16,492,-6,689.5571428571428,4.714285714285714
202308020711,13,2,120.4,13,474,-8,404.65714285714284,4.142857142857143
202308020711,14,1,23.5,8,482,0,1073.4363636363637,4.0
202308020711,15,9,41.7,10,492,-2,1563.3,2.857142857142857
202308020711,16,4,177.2,14,508,-6,729.8,3.0
202308020711,17,5,299.2,17,472,-6,556.4124999999999,5.5
202209040711,1,14,4.1,2,476,0,2057.7749999999996,2.375
202209040711,2,4,11.5,7,496,0,763.625,3.125
202209040711,3,17,9.7,4,452,0,1678.7166666666665,3.8333333333333335
202209040711,4,11,7.0,3,490,-4,935.3799999999999,1.8
202209040711,5,9,149.4,17,478,0,325.65,3.375
202209040711,6,5,33.8,10,500,6,456.75,4.625
202209040711,7,3,10.2,5,458,2,1412.0333333333335,3.1666666666666665
202209040711,8,1,3.5,1,494,-4,1560.44,1.4
202209040711,9,7,98.3,14,472,8,921.1333333333334,4.888888888888889
202209040711,10,2,164.4,18,470,2,378.66249999999997,4.125
202209040711,11,18,24.6,9,464,-10,714.86,2.8
202209040711,12,12,11.1,6,498,0,822.1374999999999,2.625
202209040711,13,6,123.7,15,466,10,1011.0999999999999,4.888888888888889
202209040711,14,13,18.8,8,462,4,422.225,4.5
202209040711,15,16,40.1,11,472,0,924.8000000000001,3.7777777777777777
202209040711,16,15,144.9,16,504,-6,424.82222222222225,4.555555555555555
202209040711,17,10,61.1,12,466,-8,665.8285714285714,4.0
202209040711,18,8,72.7,13,492,0,704.5333333333333,1.3333333333333333
202109040611,1,3,8.0,4,464,-2,1962.5714285714287,4.142857142857143
202109040611,2,18,5.4,3,474,-2,1665.8999999999999,1.75
202109040611,3,11,17.3,6,484,0,475.5142857142857,5.0
202109040611,4,14,4.1,2,494,-12,3041.042857142857,2.2857142857142856
202109040611,5,7,18.1,7,450,-4,592.9571428571428,4.0
202109040611,6,9,44.1,12,470,2,512.6363636363636,3.6363636363636362
202109040611,7,13,40.3,11,492,0,491.2285714285714,3.142857142857143
202109040611,8,8,36.3,10,514,-18,747.95,2.0
202109040611,9,2,13.1,5,492,-6,1224.314285714286,5.571428571428571
202109040611,10,17,18.4,8,474,0,520.4666666666667,8.333333333333334
202109040611,11,6,90.8,17,524,2,407.9222222222222,3.111111111111111
202109040611,12,4,60.1,15,492,10,348.225,5.625
202109040611,13,5,3.9,1,494,4,1070.8111111111111,3.5555555555555554
202109040611,14,10,46.4,13,474,0,437.22727272727275,2.909090909090909
202109040611,15,16,59.7,14,494,-6,909.1,5.0
